#mOTU	consensus_taxonomy	S_Normal_025_008M	S_Normal_025_17M	S_Normal_025_34M	S_Normal_025_068M	S_Normal_025_102M	S_Normal_050_008M	S_Normal_050_17M	S_Normal_050_34M	S_Normal_050_068M	S_Normal_050_102M	S_Normal_100_008M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_068M	S_Normal_400_102M
ref_mOTU_v3_02210	Desulfococcus multivorans	0	0	0	0	0	0	0	0	0	0.00635122	0	0	0	0	0	0	0	0	0	0.013077686	0.00398774	0	0	0	0	0.004543414	0	0.002635609	0	0
ref_mOTU_v3_06353	Desulfomicrobium baculatum	0	0	0	0	0	0	0	0	0	0	0	0	0.040075528	0	0.004431223	0.000674016	0	0	0	0	0.0008361	0	0.00501677	0	0.000961541	0.005536716	0	0	0.003515753	0.002491935
ref_mOTU_v3_06282	Desulfovibrio piger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004030903	0	0	0
ref_mOTU_v3_03588	Acidaminococcus fermentans	0	0	0	0.027301458	0	0	0	0	0	0.009674617	0	0	0	0	0	0	0	0	0	0	0	0.000287739	0	0.000403692	0	0	0.005474074	0	0.001772418	0
ref_mOTU_v3_10927	Nitrobacter hamburgensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002804549	0	0	0	0.004359495	0	0	0.001203627	0	0	0	0	0.001793518	0.002256511	0.001680717	0
ref_mOTU_v3_10928	Nitrobacter winogradskyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003371484	0	0	0	0	0	0.002176541	0.00140192	0	0	0.004171318
ref_mOTU_v3_01156	Starkeya novella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001049657	0	0	0	0	0.000582273
ref_mOTU_v3_03526	Ehrlichia canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002695141	0.007039055	0	0.00930924	0	0	0
ref_mOTU_v3_03552	Ehrlichia chaffeensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002957911	0	0	0.005031955	0	0	0	0	0	0	0.001685283	0
ref_mOTU_v3_02892	Anaplasma phagocytophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000880411	0	0	0	0	0	0	0	0.009153205	0	0	0.006553244	0
ref_mOTU_v3_06078	Neorickettsia risticii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000471158	0.007086512	0.00387332	0	0
ref_mOTU_v3_06077	Neorickettsia sennetsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192685	0	0	0.003812607	0	0	0	0.002978444	0	0	0.002118774	0	0.001953895
ref_mOTU_v3_00581	Francisella persica	0	0	0	0	0	0	0	0.030320897	0	0	0	0	0	0.017275194	0	0	0	0	0	0	0	0.002721625	0.023237173	0	0	0	0.001107739	0.003144878	0	0.013724635
ref_mOTU_v3_01542	Bdellovibrio bacteriovorus	0	0	0	0	0	0	0	0	0	0	0	0.00786736	0	0	0	0	0	0	0	0	0	0	0	0.002071045	0	0.002198949	0	0	0	0.000648667
ref_mOTU_v3_06124	Cytophaga hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0.00831776	0	0	0	0	0	0.000879815	0	0	0.003217051	0	0	0.002279705	0.00150987	0.001229665	0.001867	0.004714063	0
ref_mOTU_v3_01978	Flavobacterium johnsoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006707196	0.002093813	0	0	0
ref_mOTU_v3_12115	Solitalea canadensis	0	0	0	0	0	0	0	0	0	0.003484162	0.004670253	0	0	0	0	0	0.001496888	0.065673564	0	0.004742626	0	0	0	0	0	0	0	0	0.002579911	0.00878362
ref_mOTU_v3_01281	Flavobacterium columnare	0	0.006503091	0	0.050003391	0	0	0	0	0	0	0	0	0	0.000745575	0	0	0	0	0.036780874	0.008895777	0	0	0	0.00129988	0	0.001293529	0	0	0	0.000247275
ref_mOTU_v3_12028	Bernardetia litoralis	0	0	0	0	0.017220758	0	0	0	0	0	0	0.013430048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246348	0.001209273	0.001748005	0.001910305
