clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
s__Azospirillum_thiophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014675	0	0.0009705	0	0.0020125	0	0	0	0.0016239	0.0030403	0.0013255	0
s__Azotobacter_chroococcum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011469	0	0.0110045	0	0	0	0	0	0	0	0	0.0010665	0	0
s__Azotobacter_vinelandii	0	0	0	0	0	0.0181029	0	0	0	0	0	0	0	0	0	0.0077101	0	0	0	0	0	0	0.0072978	0	0	0	0	0	0	0.0008329
s__Bacteroides_caecimuris	0.0176154	0	0	0	0	0	0	0	0	0	0	0	0.0048214	0	0	0	0.0089718	0	0	0	0	0	0	0	0	0.0013681	0.001447	0.0005761	0.0046006	0.0014728
s__Bacteroides_helcogenes	0	0	0	0.0234246	0	0	0	0	0	0	0	0	0	0	0	0.0191359	0	0	0	0	0	0.0045331	0	0	0	0.0029243	0	0	0.0010082	0.0003355
s__Barnesiella_viscericola	0	0	0	0.0141729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129518	0	0	0	0	0	0	0	0	0.0029316	0	0	0.0016773
s__Bartonella_alsatica	0	0	0	0	0.0404248	0	0	0	0	0	0	0.0093778	0	0	0	0.0124529	0	0	0	0	0	0	0.0039251	0	0	0	0	0.0044387	0	0.0017032
s__Bartonella_ancashensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095387	0	0	0	0	0.0084681	0	0	0	0	0.0011619	0	0	0.0026304	0	0	0
s__Bartonella_apis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037074	0	0.000144	0.0009601
s__Bartonella_australis	0	0	0	0	0	0	0	0	0	0	0	0	0.0228804	0	0	0	0	0	0	0.0038034	0	0	0.0386337	0	0	0	0.0033894	0	0	0
s__Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007581	0.0027918	0.0074748	0	0	0	0.0017288	0	0.0047896	0	0	0.0006151	0	0	0.0137588
s__Bartonella_clarridgeiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224279	0	0.0012882	0	0	0	0	0.001887	0	0.0072983	0	0	0	0	0
s__Bartonella_elizabethae	0	0	0	0	0	0	0	0	0	0	0.0017157	0.0001105	0	0	0	0	0	0	0	0.0000208	0	0.0037527	0	0	0	0.0006743	0.0003253	0	0.0002005	0.0054791
