Specie	S1_010_007.5M	S1_020_007.5M	S1_050_007.5M	S1_100_007.5M	S1_150_007.5M	S1_200_007.5M	S1_250_007.5M	S1_300_007.5M	S1_500_007.5M	S1_010_015M	S1_020_015M	S1_050_015M	S1_100_015M	S1_150_015M	S1_200_015M	S1_250_015M	S1_300_015M	S1_500_015M	S1_010_030M	S1_020_030M	S1_050_030M	S1_100_030M	S1_150_030M	S1_200_030M	S1_250_030M	S1_300_030M	S1_500_030M	S1_010_045M	S1_020_045M	S1_050_045M	S1_100_045M	S1_150_045M	S1_200_045M	S1_250_045M	S1_300_045M	S1_500_045M	S1_010_090M	S1_020_090M	S1_050_090M	S1_100_090M	S1_150_090M	S1_200_090M	S1_250_090M	S1_300_090M	S1_500_090M	S1_010_150M	S1_020_150M	S1_050_150M	S1_100_150M	S1_150_150M	S1_200_150M	S1_250_150M	S1_300_150M	S1_500_150M
Rubinisphaera_brasiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008303917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000652926
Streptomyces_griseus	0	0	0	0.006292079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodanobacter_glycinis	0	0	0	0	0	0	0	0	0	0	0.146523768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurihydrogenibium_sp000020325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hwanghaeella_grinnelliae	0.156356917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas_spongiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149679549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001417952
Listeria_A_weihenstephanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSM-21351_sp004362375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas_caviae	0	0	0	0	0	0	0	0.004509703	0	0.038872321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_japonica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075394	0	0	0
Alteromonas_portus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001631066	0	0	0	0	0	0	0	0	0	0	0.14578666	0	0	0	0	0	0	0.002253173	0	0	0	0	0	0	0	0	0
Bacillus_altitudinis	0	0.147988431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001848099	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitibacter_alkalitolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacter_longus	0	0	0	0	0	0	0	0	0.00231324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000422375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008769652	0	0	0	0	0	0	0	0	0	0	0	0	0
Phytoplasma_mali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001875243	0
Pseudomonas_E_cedrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018821356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomonas_arsenitoxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143419291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_E_guineae	0	0	0	0	0.002819887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphibacillus_xylanus	0	0	0	0	0	0	0	0.003452456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001384638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium_granuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137921773	0	0	0	0	0	0	0
Nonomuraea_pusilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006450822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lutibacter_oceani	0	0	0	0	0	0	0	0	0.002467359	0	0	0	0	0	0	0	0	0	0.133007436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_europaeiscabiei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000634091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flexilinea_flocculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia_oryzendophytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099402713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ochrovirga_pacifica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000684712	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus_AB_flagellatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003774904	0	0	0	0	0.117056869	0	0	0	0	0	0
Aeromonas_diversa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117012943	0	0	0.010001471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_spanius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007984004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium_A_pleistocenium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halonatronum_saccharophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122495963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_merionis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001267857	0	0	0	0	0	0	0	0	0	0
Streptomyces_rochei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105184608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis_A_bovirhinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002307312	0.113359357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesomycoplasma_flocculare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus_sp000758525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037729187	0	0	0	0	0	0	0	0	0	0
QGGB01_sp003150675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryobacterium_zongtaii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002933262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000782881	0	0	0	0	0	0	0	0	0
Actinokineospora_terrae	0	0	0	0	0	0	0	0	0	0	0.102506592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpentinomonas_raichei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105662032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermorudis_peleae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112268674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
