clade_name	Simul_RG_R1_11K_010_007.5M_MPA4	Simul_RG_R1_11K_010_015M_MPA4	Simul_RG_R1_11K_010_030M_MPA4	Simul_RG_R1_11K_010_045M_MPA4	Simul_RG_R1_11K_010_090M_MPA4	Simul_RG_R1_11K_010_150M_MPA4	Simul_RG_R1_11K_020_007.5M_MPA4	Simul_RG_R1_11K_020_015M_MPA4	Simul_RG_R1_11K_020_030M_MPA4	Simul_RG_R1_11K_020_045M_MPA4	Simul_RG_R1_11K_020_090M_MPA4	Simul_RG_R1_11K_020_150M_MPA4	Simul_RG_R1_11K_050_007.5M_MPA4	Simul_RG_R1_11K_050_015M_MPA4	Simul_RG_R1_11K_050_030M_MPA4	Simul_RG_R1_11K_050_045M_MPA4	Simul_RG_R1_11K_050_090M_MPA4	Simul_RG_R1_11K_050_150M_MPA4	Simul_RG_R1_11K_100_007.5M_MPA4	Simul_RG_R1_11K_100_015M_MPA4	Simul_RG_R1_11K_100_030M_MPA4	Simul_RG_R1_11K_100_045M_MPA4	Simul_RG_R1_11K_100_090M_MPA4	Simul_RG_R1_11K_100_150M_MPA4	Simul_RG_R1_11K_150_007.5M_MPA4	Simul_RG_R1_11K_150_015M_MPA4	Simul_RG_R1_11K_150_030M_MPA4	Simul_RG_R1_11K_150_045M_MPA4	Simul_RG_R1_11K_150_090M_MPA4	Simul_RG_R1_11K_150_150M_MPA4	Simul_RG_R1_11K_200_007.5M_MPA4	Simul_RG_R1_11K_200_015M_MPA4	Simul_RG_R1_11K_200_030M_MPA4	Simul_RG_R1_11K_200_045M_MPA4	Simul_RG_R1_11K_200_090M_MPA4	Simul_RG_R1_11K_200_150M_MPA4	Simul_RG_R1_11K_250_007.5M_MPA4	Simul_RG_R1_11K_250_015M_MPA4	Simul_RG_R1_11K_250_030M_MPA4	Simul_RG_R1_11K_250_045M_MPA4	Simul_RG_R1_11K_250_090M_MPA4	Simul_RG_R1_11K_250_150M_MPA4	Simul_RG_R1_11K_300_007.5M_MPA4	Simul_RG_R1_11K_300_015M_MPA4	Simul_RG_R1_11K_300_030M_MPA4	Simul_RG_R1_11K_300_045M_MPA4	Simul_RG_R1_11K_300_090M_MPA4	Simul_RG_R1_11K_300_150M_MPA4	Simul_RG_R1_11K_500_007.5M_MPA4	Simul_RG_R1_11K_500_015M_MPA4	Simul_RG_R1_11K_500_030M_MPA4	Simul_RG_R1_11K_500_045M_MPA4	Simul_RG_R1_11K_500_090M_MPA4	Simul_RG_R1_11K_500_150M_MPA4
s__Thiomonas_arsenitoxydans	0	0	0	0.1374067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Flavobacterium_granuli	0	0	0	0	0	0	0	0	0	0	0	0.1371676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lutibacter_oceani	0	0	0.1326271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025073	0	0	0	0	0
s__Halonatronum_saccharophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1319877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Aeromonas_diversa	0	0	0.1172014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Paenibacillus_flagellatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1234628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039429	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rhizobium_rhizosphaerae	0	0	0	0	0	0	0	0	0.1263086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptomyces_rochei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1239463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Mycoplasma_bovirhinis	0	0	0.1159015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024257	0	0	0	0
s__Thermorudis_peleae	0	0	0	0	0	0	0	0	0	0.1163317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Hymenobacter_edaphi	0	0	0	0	0	0	0	0	0	0	0	0.0817708	0	0	0	0	0	0	0	0.0327641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007339	0	0	0	0	0	0	0	0	0	0	0
s__Cardinium_endosymbiont_of_Culicoides_punctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Janthinobacterium_psychrotolerans	0	0	0	0	0	0	0	0.0884554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012988	0	0.0019892	0	0	0	0	0	0.0202978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kosakonia_oryzendophytica	0	0	0	0	0.1083162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003657	0	0	0	0
s__Caballeronia_sordidicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1061179	0	0	0	0	0	0.0037151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lutispora_thermophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1098108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Stenomitos_frigidus	0	0.1091435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001625	0	0	0	0	0	0
s__Serpentinomonas_raichei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1092964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Treponema_azotonutricium	0	0	0	0	0	0	0	0.1055907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptomyces_paucisporeus	0	0	0	0	0	0	0	0	0	0	0	0.0469721	0	0	0	0	0.0567681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinokineospora_cianjurensis	0	0	0	0	0	0	0	0.1019778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Megasphaera_cerevisiae	0	0	0	0	0	0.0942744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lentisphaera_araneosa	0	0	0	0	0	0	0	0	0	0	0	0.0831878	0	0	0	0	0	0	0	0	0.0038729	0	0	0	0	0	0	0	0.0080984	0	0	0.0032029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Hydromonas_duriensis	0	0	0.0526189	0	0	0	0	0	0.040967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Knoellia_locipacati	0	0	0	0	0	0	0	0	0.0928603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Enterobacter_hormaechei	0	0	0	0	0	0	0	0	0	0.0767131	0	0	0	0	0	0	0	0	0	0	0.0059357	0	0	0	0	0.0066389	0	0	0	0	0	0	0.0000607	0	0	0	0	0	0	0	0	0	0	0	0	0.0000422	0	0.0008463	0.001137	0	0	0	0	0
s__Shimwellia_blattae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888208	0	0	0	0.0006122	0	0	0.0014303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Anaerococcus_jeddahensis	0.0863958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025879	0	0	0	0	0	0	0
s__Pararhizobium_haloflavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0889916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0858631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dolichospermum_circinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0856304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000845	0	0	0	0	0	0	0.0010295
s__Microbulbifer_donghaiensis	0	0.085825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Syntrophus_aciditrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0780733	0	0	0	0.0069558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Thermoflavifilum_aggregans	0	0	0	0	0	0	0	0	0	0	0	0.0788174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptacidiphilus_albus	0	0	0	0	0	0	0	0	0	0.0821097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Nocardia_vermiculata	0	0	0	0	0	0.079615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010633	0	0	0	0	0	0.0008208	0	0
s__Streptomyces_thermoautotrophicus	0	0	0	0	0.0810896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Ruminococcus_bicirculans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062741	0	0	0	0	0.0421034	0	0	0	0	0	0	0	0	0	0
s__Daejeonella_lutea	0.070766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Comamonas_kerstersii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Marinospirillum_minutulum	0	0	0	0	0	0	0.0781049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Hymenobacter_metallilatus	0	0	0	0.0780347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_mustelae	0	0	0	0	0.0779486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000265	0	0	0	0	0	0	0	0	0
