trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_1	Bayes	MinMaxScaler_73465	BayesMinMaxScaler_73465	M02_MinMaxScaler_73465	0.911197678	1	0.240006865	0.379278865	0.240006865	0.953535773
try_2	Bayes	MinMaxScaler_73465	BayesMinMaxScaler_73465	M02_MinMaxScaler_73465	0.911197678	1	0.240006865	0.379278865	0.240006865	0.953535773
try_3	Bayes	MinMaxScaler_73465	BayesMinMaxScaler_73465	M02_MinMaxScaler_73465	0.911197678	1	0.240006865	0.379278865	0.240006865	0.953535773
try_4	Bayes	MinMaxScaler_73465	BayesMinMaxScaler_73465	M02_MinMaxScaler_73465	0.911197678	1	0.240006865	0.379278865	0.240006865	0.953535773
try_0	Bayes	MinMaxScaler_17365	BayesMinMaxScaler_17365	M03_MinMaxScaler_17365	0.916114096	1	0.234793587	0.378273843	0.234793587	0.95622082
try_1	Bayes	MinMaxScaler_17365	BayesMinMaxScaler_17365	M03_MinMaxScaler_17365	0.916114096	1	0.234793587	0.378273843	0.234793587	0.95622082
try_2	Bayes	MinMaxScaler_17365	BayesMinMaxScaler_17365	M03_MinMaxScaler_17365	0.916114096	1	0.234793587	0.378273843	0.234793587	0.95622082
try_3	Bayes	MinMaxScaler_17365	BayesMinMaxScaler_17365	M03_MinMaxScaler_17365	0.916114096	1	0.234793587	0.378273843	0.234793587	0.95622082
try_4	Bayes	MinMaxScaler_17365	BayesMinMaxScaler_17365	M03_MinMaxScaler_17365	0.916114096	1	0.234793587	0.378273843	0.234793587	0.95622082
try_0	Bayes	MinMaxScaler_17465	BayesMinMaxScaler_17465	M04_MinMaxScaler_17465	0.911367493	1	0.22806712	0.36592166	0.22806712	0.953628746
try_1	Bayes	MinMaxScaler_17465	BayesMinMaxScaler_17465	M04_MinMaxScaler_17465	0.911367493	1	0.22806712	0.36592166	0.22806712	0.953628746
try_2	Bayes	MinMaxScaler_17465	BayesMinMaxScaler_17465	M04_MinMaxScaler_17465	0.911367493	1	0.22806712	0.36592166	0.22806712	0.953628746
try_3	Bayes	MinMaxScaler_17465	BayesMinMaxScaler_17465	M04_MinMaxScaler_17465	0.911367493	1	0.22806712	0.36592166	0.22806712	0.953628746
try_4	Bayes	MinMaxScaler_17465	BayesMinMaxScaler_17465	M04_MinMaxScaler_17465	0.911367493	1	0.22806712	0.36592166	0.22806712	0.953628746
try_0	Bayes	MinMaxScaler_13465	BayesMinMaxScaler_13465	M05_MinMaxScaler_13465	0.913094845	1	0.226106176	0.364948578	0.226106176	0.954573525
try_1	Bayes	MinMaxScaler_13465	BayesMinMaxScaler_13465	M05_MinMaxScaler_13465	0.913094845	1	0.226106176	0.364948578	0.226106176	0.954573525
try_2	Bayes	MinMaxScaler_13465	BayesMinMaxScaler_13465	M05_MinMaxScaler_13465	0.913094845	1	0.226106176	0.364948578	0.226106176	0.954573525
try_3	Bayes	MinMaxScaler_13465	BayesMinMaxScaler_13465	M05_MinMaxScaler_13465	0.913094845	1	0.226106176	0.364948578	0.226106176	0.954573525
try_4	Bayes	MinMaxScaler_13465	BayesMinMaxScaler_13465	M05_MinMaxScaler_13465	0.913094845	1	0.226106176	0.364948578	0.226106176	0.954573525
try_0	Bayes	MinMaxScaler_1735	BayesMinMaxScaler_1735	M06_MinMaxScaler_1735	0.913438466	1	0.224518445	0.36459467	0.224518445	0.954761266
try_1	Bayes	MinMaxScaler_1735	BayesMinMaxScaler_1735	M06_MinMaxScaler_1735	0.913438466	1	0.224518445	0.36459467	0.224518445	0.954761266
try_2	Bayes	MinMaxScaler_1735	BayesMinMaxScaler_1735	M06_MinMaxScaler_1735	0.913438466	1	0.224518445	0.36459467	0.224518445	0.954761266
try_3	Bayes	MinMaxScaler_1735	BayesMinMaxScaler_1735	M06_MinMaxScaler_1735	0.913438466	1	0.224518445	0.36459467	0.224518445	0.954761266
try_4	Bayes	MinMaxScaler_1735	BayesMinMaxScaler_1735	M06_MinMaxScaler_1735	0.913438466	1	0.224518445	0.36459467	0.224518445	0.954761266
try_0	Bayes	MinMaxScaler_7465	BayesMinMaxScaler_7465	M07_MinMaxScaler_7465	0.907481287	1	0.224179121	0.356046332	0.224179121	0.951496922
try_1	Bayes	MinMaxScaler_7465	BayesMinMaxScaler_7465	M07_MinMaxScaler_7465	0.907481287	1	0.224179121	0.356046332	0.224179121	0.951496922
try_2	Bayes	MinMaxScaler_7465	BayesMinMaxScaler_7465	M07_MinMaxScaler_7465	0.907481287	1	0.224179121	0.356046332	0.224179121	0.951496922
try_3	Bayes	MinMaxScaler_7465	BayesMinMaxScaler_7465	M07_MinMaxScaler_7465	0.907481287	1	0.224179121	0.356046332	0.224179121	0.951496922
try_4	Bayes	MinMaxScaler_7465	BayesMinMaxScaler_7465	M07_MinMaxScaler_7465	0.907481287	1	0.224179121	0.356046332	0.224179121	0.951496922
try_0	Bayes	MinMaxScaler_72465	BayesMinMaxScaler_72465	M08_MinMaxScaler_72465	0.907041506	1	0.220685527	0.352035863	0.220685527	0.951255128
try_1	Bayes	MinMaxScaler_72465	BayesMinMaxScaler_72465	M08_MinMaxScaler_72465	0.907041506	1	0.220685527	0.352035863	0.220685527	0.951255128
try_2	Bayes	MinMaxScaler_72465	BayesMinMaxScaler_72465	M08_MinMaxScaler_72465	0.907041506	1	0.220685527	0.352035863	0.220685527	0.951255128
try_3	Bayes	MinMaxScaler_72465	BayesMinMaxScaler_72465	M08_MinMaxScaler_72465	0.907041506	1	0.220685527	0.352035863	0.220685527	0.951255128
try_4	Bayes	MinMaxScaler_72465	BayesMinMaxScaler_72465	M08_MinMaxScaler_72465	0.907041506	1	0.220685527	0.352035863	0.220685527	0.951255128
try_0	Bayes	MinMaxScaler_1745	BayesMinMaxScaler_1745	M09_MinMaxScaler_1745	0.909591357	1	0.212690026	0.346855808	0.212690026	0.952655503
try_1	Bayes	MinMaxScaler_1745	BayesMinMaxScaler_1745	M09_MinMaxScaler_1745	0.909591357	1	0.212690026	0.346855808	0.212690026	0.952655503
try_2	Bayes	MinMaxScaler_1745	BayesMinMaxScaler_1745	M09_MinMaxScaler_1745	0.909591357	1	0.212690026	0.346855808	0.212690026	0.952655503
try_3	Bayes	MinMaxScaler_1745	BayesMinMaxScaler_1745	M09_MinMaxScaler_1745	0.909591357	1	0.212690026	0.346855808	0.212690026	0.952655503
try_4	Bayes	MinMaxScaler_1745	BayesMinMaxScaler_1745	M09_MinMaxScaler_1745	0.909591357	1	0.212690026	0.346855808	0.212690026	0.952655503
try_0	Bayes	MinMaxScaler_1345	BayesMinMaxScaler_1345	M10_MinMaxScaler_1345	0.908761728	1	0.208119892	0.340421622	0.208119892	0.952200282
try_1	Bayes	MinMaxScaler_1345	BayesMinMaxScaler_1345	M10_MinMaxScaler_1345	0.908761728	1	0.208119892	0.340421622	0.208119892	0.952200282
try_2	Bayes	MinMaxScaler_1345	BayesMinMaxScaler_1345	M10_MinMaxScaler_1345	0.908761728	1	0.208119892	0.340421622	0.208119892	0.952200282
try_3	Bayes	MinMaxScaler_1345	BayesMinMaxScaler_1345	M10_MinMaxScaler_1345	0.908761728	1	0.208119892	0.340421622	0.208119892	0.952200282
try_4	Bayes	MinMaxScaler_1345	BayesMinMaxScaler_1345	M10_MinMaxScaler_1345	0.908761728	1	0.208119892	0.340421622	0.208119892	0.952200282
try_0	GB	Log_72346	GBLog_72346	M01_Log_72346	0.98784771	0.926264385	0.907869922	0.914658314	0.842071561	0.956065378
try_1	GB	Log_72346	GBLog_72346	M01_Log_72346	0.98784771	0.926264385	0.907869922	0.914658314	0.842071561	0.956065378
try_2	GB	Log_72346	GBLog_72346	M01_Log_72346	0.98784771	0.926264385	0.907869922	0.914658314	0.842071561	0.956065378
try_3	GB	Log_72346	GBLog_72346	M01_Log_72346	0.98784771	0.926264385	0.907869922	0.914658314	0.842071561	0.956065378
try_4	GB	Log_72346	GBLog_72346	M01_Log_72346	0.98784771	0.926264385	0.907869922	0.914658314	0.842071561	0.956065378
try_0	GB	Log_1726	GBLog_1726	M02_Log_1726	0.987742785	0.940850978	0.887212096	0.910341318	0.834936518	0.963726818
try_1	GB	Log_1726	GBLog_1726	M02_Log_1726	0.987742785	0.940850978	0.887212096	0.910341318	0.834936518	0.963726818
try_2	GB	Log_1726	GBLog_1726	M02_Log_1726	0.987742785	0.940850978	0.887212096	0.910341318	0.834936518	0.963726818
try_3	GB	Log_1726	GBLog_1726	M02_Log_1726	0.987742785	0.940850978	0.887212096	0.910341318	0.834936518	0.963726818
try_4	GB	Log_1726	GBLog_1726	M02_Log_1726	0.987742785	0.940850978	0.887212096	0.910341318	0.834936518	0.963726818
try_0	GB	Log_72345	GBLog_72345	M03_Log_72345	0.986558979	0.91796804	0.893010745	0.902625361	0.820920626	0.951028369
try_1	GB	Log_72345	GBLog_72345	M03_Log_72345	0.986558979	0.91796804	0.893010745	0.902625361	0.820920626	0.951028369
try_2	GB	Log_72345	GBLog_72345	M03_Log_72345	0.986558979	0.91796804	0.893010745	0.902625361	0.820920626	0.951028369
try_3	GB	Log_72345	GBLog_72345	M03_Log_72345	0.986558979	0.91796804	0.893010745	0.902625361	0.820920626	0.951028369
try_4	GB	Log_72345	GBLog_72345	M03_Log_72345	0.986558979	0.91796804	0.893010745	0.902625361	0.820920626	0.951028369
try_0	GB	Log_17234	GBLog_17234	M04_Log_17234	0.986790598	0.939195911	0.873253801	0.901187215	0.819908185	0.962405178
try_1	GB	Log_17234	GBLog_17234	M04_Log_17234	0.986790598	0.939195911	0.873253801	0.901187215	0.819908185	0.962405178
try_2	GB	Log_17234	GBLog_17234	M04_Log_17234	0.986790598	0.939195911	0.873253801	0.901187215	0.819908185	0.962405178
try_3	GB	Log_17234	GBLog_17234	M04_Log_17234	0.986790598	0.939195911	0.873253801	0.901187215	0.819908185	0.962405178
try_4	GB	Log_17234	GBLog_17234	M04_Log_17234	0.986790598	0.939195911	0.873253801	0.901187215	0.819908185	0.962405178
try_0	GB	Log_17235	GBLog_17235	M05_Log_17235	0.986733808	0.94432638	0.866675658	0.901142285	0.818710405	0.965064446
try_1	GB	Log_17235	GBLog_17235	M05_Log_17235	0.986733808	0.94432638	0.866675658	0.901142285	0.818710405	0.965064446
try_2	GB	Log_17235	GBLog_17235	M05_Log_17235	0.986733808	0.94432638	0.866675658	0.901142285	0.818710405	0.965064446
try_3	GB	Log_17235	GBLog_17235	M05_Log_17235	0.986733808	0.94432638	0.866675658	0.901142285	0.818710405	0.965064446
try_4	GB	Log_17235	GBLog_17235	M05_Log_17235	0.986733808	0.94432638	0.866675658	0.901142285	0.818710405	0.965064446
