#Kingdom	Phylum	Class	Order	Family	Genus	Species	Ca-5	CIN-1	Ca-1	CIN-7	Nor-1	CIN-13	CIN-8	Ca-13	CIN-2	Nor-4	Nor-10	Ca-14	Nor-13	Ca-10	Nor-14	Ca-3	CIN-15	CIN-6	Ca-4	Ca-11	Nor-11	Ca-9	CIN-3	CIN-10	Nor-7	Ca-7	CIN-9	Nor-12	CIN-14	Nor-6	Ca-6	Ca-12	Nor-15	Nor-9	Ca-8	CIN-12	Ca-2	CIN-11	Nor-3	CIN-5	Nor-5	CIN-4	Nor-8	Ca-15	Nor-2
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia_sp000278725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020164909327844186	0.0	0.0	0.000166383814182556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia_sp000758755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024150622603050708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Peptidiphaga	Peptidiphaga_gingivicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001602663933265753	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Peptidiphaga	Peptidiphaga_sp000466165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.044143891608182e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0007701847877178166	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_sp012727825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002772935335555763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum_cambriense_A	0.0	0.0	0.0	0.0030807527468881004	0.0	0.0	0.0	0.0	0.0003949486073124723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006933686472440145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum_massiliense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000527701474996934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum_timonense	0.0	0.0	0.0	0.0003411415551164829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Beutenbergiaceae	Miniimonas	Miniimonas_arenae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016107492022713607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Beutenbergiaceae	T3246-1	T3246-1_sp004353825	0.0	0.0	0.0	8.266570106918186e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
