SampleID	MetaPhlAn4_P	mOTUs3_P	Bracken_P	Kraken2_P	KrakenUniq_P	MAP2B_P	MetaPhlAn4_R	mOTUs3_R	Bracken_R	Kraken2_R	KrakenUniq_R	MAP2B	MetaPhlAn4_F1	mOTUs3_F1	Bracken_F	Kraken2_F	KrakenUniq_F	MAP2B	MetaPhlAn4_L2	mOTUs3_L2	Bracken_L2	Kraken2_L2	Krakenuniq_L2	MAP2B_L2	MetaPhlAn4_BC	mOTUs3_BC	Bracken_BC	Kraken2_BC	KrakenUniq_BC	MAP2B_BC
S1_100_090M	0.87037037	0.175182482	0.044084	0.0681	0.102894	1	0.930693069	0.475247525	0.376238	0.376238	0.316832	1	0.899521531	0.256	0.078920808	0.115325756	0.155339968	1	0.9522185	0.838545	0.851936	0.845587	0.822649	0.99603654	0.9171975	0.381032	0.430767	0.431717	0.338001	0.99137122
S1_150_090M	0.830188679	0.317073171	0.047406	0.083333	0.146006	0.986928	0.874172185	0.516556291	0.350993	0.350993	0.350993	1	0.851612903	0.392947103	0.0835302	0.134688228	0.206226105	0.993421	0.942725	0.885198	0.835972	0.826151	0.826944	0.99555382	0.863968	0.512852	0.222366	0.21637	0.236851	0.9888129
S1_200_090M	0.855813953	0.324675325	0.048239	0.096626	0.179567	1	0.915422886	0.497512438	0.313433	0.313433	0.288557	1	0.884615385	0.392927308	0.083609981	0.147714241	0.221374315	1	0.9574608	0.895169	0.888754	0.881345	0.861543	0.99561939	0.897755	0.438496	0.270439	0.27036	0.240134	0.99089198
S1_250_090M	0.8359375	0.353846154	0.092664	0.181467	0.193798	1	0.856	0.46	0.384	0.376	0.1	1	0.845849802	0.4	0.149300035	0.244791502	0.131926017	1	0.9047125	0.890907	0.9093804	0.9004234	0.725537	0.99484677	0.767481	0.429321	0.428946	0.410132	0.077862	0.9892741
S1_300_090M	0.855769231	0.509615385	0.106942	0.202487	0.307692	0.993399	0.887043189	0.528239203	0.378738	0.378738	0.332226	1	0.871125612	0.518760196	0.166788829	0.263889273	0.319488692	0.996688571	0.9358736	0.898696	0.89896	0.883981	0.868239	0.99772254	0.851566	0.529874	0.402732	0.395769	0.373838	0.99222117
S1_500_090M	0.877952756	0.514522822	0.12076	0.216792	0.423858	1	0.892	0.496	0.356	0.346	0.334	0.996	0.884920635	0.50509165	0.18034466	0.26656396	0.373601841	0.997995992	0.9727609	0.9235256	0.9175468	0.9009804	0.887657	0.99698214	0.896659	0.479719	0.365424	0.302428	0.357831	0.99113183
S1_010_150M	0.444444444	0.11627907	0.002062	0.004808	0.012821	1	0.8	0.5	0.1	0.1	0.1	1	0.571428571	0.188679245	0.004040681	0.009174872	0.022728038	1	0.9639281	0.427517	0.556738	0.518501	0.534994	0.99097545	0.960378	0.396585	0.401528	0.40153	0.40153	0.99240677
S1_020_150M	0.904761905	0.161290323	0.004055	0.00885	0.017241	0.913043	0.904761905	0.476190476	0.238095	0.238095	0.238095	1	0.904761905	0.240963855	0.007974191	0.017065668	0.032153679	0.954545193	0.9534365	0.711202	0.585646	0.569493	0.566833	0.9899238	0.9525064	0.478866	0.069304	0.064596	0.065059	0.9898405
S1_050_150M	0.826923077	0.126984127	0.013986	0.030108	0.053435	1	0.86	0.48	0.28	0.28	0.28	1	0.843137255	0.20083682	0.026641269	0.054369703	0.089743428	1	0.9513145	0.819022	0.770813	0.742854	0.731414	0.99439676	0.9005362	0.486557	0.304838	0.280155	0.284724	0.99235282
S1_100_150M	0.769911504	0.205357143	0.025997	0.058824	0.116592	0.87069	0.861386139	0.455445545	0.29703	0.277228	0.257426	1	0.813084112	0.283076923	0.047809557	0.097054384	0.160493945	0.930875773	0.897781	0.820456	0.837378	0.820116	0.803966	0.99593113	0.809762	0.371076	0.270808	0.255642	0.244695	0.99040571
S1_150_150M	0.776470588	0.313901345	0.046248	0.100569	0.203922	1	0.88	0.466666667	0.353333	0.353333	0.346667	1	0.825	0.375335121	0.081790398	0.156572769	0.256790557	1	0.9413031	0.882862	0.876764	0.869623	0.850562	0.99500761	0.869595	0.477203	0.329297	0.327943	0.27836	0.987138
S1_200_150M	0.814814815	0.326219512	0.060736	0.119377	0.212418	1	0.875621891	0.532338308	0.353234	0.343284	0.323383	1	0.8441247	0.404536862	0.103650121	0.177150069	0.256410011	1	0.9304058	0.880501	0.881403	0.873132	0.868403	0.99395888	0.85202	0.481041	0.339919	0.338634	0.332908	0.9860647
S1_250_150M	0.840304183	0.383152174	0.084961	0.155678	0.27451	0.992095	0.880478088	0.561752988	0.346614	0.338645	0.334661	1	0.859922179	0.455573506	0.136470704	0.213300115	0.301615773	0.996031816	0.9695838	0.919724	0.877504	0.858519	0.842799	0.99880783	0.9105229	0.59691	0.359667	0.355368	0.354428	0.99538126
S1_300_150M	0.815625	0.411290323	0.070893	0.158951	0.289552	0.990099	0.87	0.51	0.346667	0.343333	0.323333	1	0.841935484	0.455357143	0.117713687	0.217299869	0.305511529	0.995024871	0.9705678	0.9133598	0.88526	0.876072	0.868217	0.9955776	0.9030071	0.500593	0.275093	0.271781	0.261939	0.9893174
S1_500_150M	0.848368522	0.388888889	0.114943	0.216687	0.386308	1	0.882235529	0.489021956	0.359281	0.347305	0.315369	0.996008	0.864970646	0.433244916	0.174165947	0.266870731	0.347252561	0.998000008	0.9776898	0.934908	0.9244668	0.91777	0.907353	0.99864635	0.89954	0.501806	0.320113	0.31163	0.28826	0.99328187
